ID,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15â€“64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15â€“24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),Well-Being Index
10065,1002001,Antlia B,0.624014798,56.39724062,17649.87156,0.458598647,7.857840896,5.196526961,0.50753432,0.471399807,247.1966543,33.13596654,58.07935657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041403938
10087,999000,KKH 11 (ZOAG G135.74-04.53),0.970048224,80.92409414,11409.94296,0.757218493,15.86979843,13.06573381,0.807108155,0.83755934,137.2990572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098777401
10141,993012,Leo IV Dwarf,0.995539581,82.44100577,58774.29343,1.03242883,17.54511703,11.39971059,0.973683794,0.890395561,74.70930193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200746815
10168,995006,NGC 185,1.004361782,75.63598554,34960.41911,0.707775555,13.57808561,,,,,,,9.558558691,700.2396661,51.74220536,62.36379181,83.0180729,25.90051016,653.0739393,33.07070522,78.21244183,83.5996062,100.7872173,63.81420345,97.69605788,2.543016999,79.45823806,15.27949943,86.55292913,78.90808442,80.81680911,72.54596454,90.72467098,71.76382734,67.21441794,55.97912867,1.735836766,20.65532044,220.6905762,290.9197694,57.4496178,21.18485099,32946.80196,7789.733426,,106.8054385,15.73856437,,,,13.88956781,13.33328698,431.9271199,66.01548245,28264.20625,12143.42107,,75.7567939,132.1876872,117.81483,10.17402589,,,101238.6906,95.26597729,,,,,,,,,,,1.546539112,,0.56280905,0.06717037
10201,996004,Grus I,1.050627164,83.41253995,17073.45121,0.951402344,13.51815663,11.74907146,0.965451884,0.797999766,141.2104622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078350955
10226,1000000,"Leo I Dwarf (DDO 74, UGC 5470)",0.70161334,59.39371776,21345.68138,0.534916263,9.167112233,5.942806024,0.321637828,0.341346714,234.3862401,43.56855353,38.80288422,8.293277083,583.1661287,31.07847565,177.54389,114.3583575,9.725771484,438.7010797,65.91987717,66.54068044,59.36795001,133.5411128,121.3815372,165.0216411,3.042308317,123.8257795,10.62146665,103.8676446,86.47692594,81.85256116,39.04525792,102.026837,92.50046196,43.00126207,75.97014867,3.381439085,23.03264188,423.4987948,506.8586171,81.83378983,64.73226462,28893.52442,5968.935979,20.40053491,,,22.84687392,6.441776346,6.741439785,7.029348326,9.589215311,1333.49405,123.1738954,7673.917449,11576.18457,58.12699802,80.90049101,,,,14.91137706,,76574.36006,71.85205873,633.9021156,65.11737178,40.29288147,5.628120971,0.458973418,0.468233868,0.85456151,176.350623,158.4606,,10.96718484,,,0.04473176
10238,991020,BoÃ¶tes I,0.747318834,70.22515653,23051.71374,0.795094121,14.13979148,7.887241304,0.668649607,0.574333184,134.3905606,,,,,,,,,,,,,,,,2.400509105,52.38238335,21.32126696,35.61254431,,,67.64765934,,65.43250603,,51.79336615,3.298747686,34.77348937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052210593
10251,992016,UGC 7577 (DDO 125),0.884287342,73.15591166,34042.13768,0.909842294,17.00837952,12.07516882,0.842762091,0.771008398,56.68817738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088437824
10329,991020,KKh 98,0.888769862,78.56992237,21461.4692,0.698223912,14.71317314,8.888171654,0.702012094,0.610459819,105.5500098,,,,,,,,,,,,,,,,3.286370721,70.47963224,8.919584993,66.28635589,,,52.88274519,,67.76054205,,64.75849933,3.084187329,21.37407314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06260966
10368,998001,Fornax Dwarf (E356-G04),1.001783409,83.25095964,42759.83048,0.95786406,15.09644417,12.92693176,1.051782343,0.866846385,83.22309503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163244903
